Mobile_Name,Mobile_Price
"Samsung Galaxy M12 (White,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","9,999"
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)","9,999"
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","9,999"
"Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","9,999"
"Samsung Galaxy M11 (Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","20,999"
"Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","14,999"
"Samsung Galaxy M02 (Blue,3GB RAM, 32GB Storage)","14,999"
"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)","8,999"
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","9,999"
"Samsung Galaxy M31 (Ocean Blue, 8GB RAM, 128GB Storage)","7,299"
"Samsung Galaxy M31 (Space Black, 6GB RAM, 64GB Storage)","12,499"
"Samsung Galaxy M11 (Violet, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","6,199"
"Samsung Galaxy M31s (Mirage Blue, 6GB RAM, 128GB Storage)","16,999"
"Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage)","15,999"
"Samsung Galaxy M12 (Black,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","8,999"
"Samsung Galaxy M02s (Black,3GB RAM, 32GB Storage) | 5000 mAh | Triple Camera","16,999"
"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","12,499"
"Samsung Galaxy M51 (Celestial Black, 8GB RAM, 128GB Storage)","12,499"
"Samsung Galaxy M12 (White,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","8,999"
"Samsung Galaxy M12 (Black,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","12,499"
"Mi 10T Pro 5G (Cosmic Black, 8GB RAM, 128GB Storage) -|Alexa Hands-Free Capable | Additional Exchange/No Cost EMI Offers","22,999"
"Samsung Galaxy M11 (Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","12,499"
